control_number,specific_name,generic_name,category,qty,unit,origin,ship_date
2014409387,,SPRINGBOK,TRO,4,NO,ZA,1/21/14
2014409387,,BLESBOK,TRO,2,NO,ZA,1/21/14
2014409387,BLUE,WILDEBEEST,TRO,1,NO,ZA,1/21/14
2014409387,BURCHELL'S,ZEBRA,TRO,1,NO,ZA,1/21/14
2014409387,COMMON,ELAND,TRO,1,NO,ZA,1/21/14
2014409387,,GEMSBOK,TRO,1,NO,ZA,1/21/14
2014409387,,IMPALA,TRO,1,NO,ZA,1/21/14
2014409387,BLACK,WILDEBEEST,TRO,1,NO,ZA,1/21/14
2014409398,GREAT PEARL,OYSTER,JWL,220,NO,PH,1/26/14
2014409398,ABALONE,SHELL,JWL,188,NO,NZ,1/26/14
2014409398,,SHELL,JWL,97,NO,US,1/26/14
2014409398,,OYSTER,JWL,63,NO,PF,1/26/14
2014409398,,SEA FAN,JWL,2,NO,CN,1/26/14
2014409398,,OYSTER,JWL,11,NO,PH,1/26/14
2014409409,,OCTOPUS,MEA,21772,KG,CN,1/28/14
2014409415,,OYSTER,SPR,14178,NO,CN,1/16/14
2014409419,,OYSTER,SPR,352,NO,JP,1/18/14
2014409858,WHITE-TAILED,DEER,LPS,6912,NO,US,1/27/14
2014409945,BRUSHTAIL,POSSUM,SKU,23,NO,AU,1/22/14
2014409945,BRUSHTAIL,POSSUM,BON,23,NO,AU,1/22/14
2014409949,,SQUID,EXT,216,KG,JP,1/30/14
2014410300,N. AMERICAN BROWN,BEAR,RUG,1,NO,CA,1/23/14
2014410468,,SQUID,MEA,1452,KG,TH,1/28/14
2014410474,SOCKEYE,SALMON,SPE,40,NO,CA,1/22/14
2014410482,AMERICAN,BISON,SKI,1,NO,CA,1/23/14
2014411333,SPANISH,IBEX,TRO,1,NO,ES,1/26/14
2014411333,PYRENEAN,CHAMOIS,TRO,2,NO,ES,1/26/14
2014411335,SHORTFIN,SQUID,SPR,22680,KG,CN,1/30/14
2014411342,,GEMSBOK,TRO,1,NO,ZA,1/17/14
2014411342,,NYALA,TRO,1,NO,ZA,1/17/14
2014411342,,HARTEBEEST,TRO,1,NO,ZA,1/17/14
2014411342,,WATERBUCK,TRO,1,NO,ZA,1/17/14
2014411697,,OYSTER,SPR,9624,NO,CN,2/1/14
2014411708,CAPIZ,SHELL,SPR,896,NO,CN,1/30/14
2014411723,RADIATED RAT,SNAKE,SHO,1240,NO,ID,1/28/14
2014411729,NORTHERN SHORTFIN,SQUID,MEA,68,KG,KR,1/30/14
2014411770,RED,KANGAROO,MEA,9275,KG,AU,1/30/14
